lgacode21,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1999_hhds_with_indig_persons,1500_1999_other_hhds,1500_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_more_hhds_with_indig_persons,3000_more_other_hhds,3000_more_total_hhds
10050,5,112,122,29,309,337,36,534,571,56,1478,1538,77,1241,1317,76,1482,1560,68,1514,1580,78,1687,1762,105,1644,1753,134,2440,2581,103,2373,2479,55,1455,1511,114,3190,3303
10180,10,70,85,33,148,182,40,244,278,56,674,730,44,544,583,91,729,817,77,718,797,69,754,822,76,765,842,111,1156,1267,101,1034,1132,44,620,661,60,1530,1594
10250,12,132,144,11,197,207,24,379,400,43,1224,1269,38,1006,1041,50,1306,1350,52,1317,1369,73,1366,1437,66,1369,1436,89,1904,1985,98,1802,1904,63,1142,1206,125,2866,2999
10300,0,0,3,3,6,12,3,21,21,0,56,57,5,26,38,7,37,47,8,38,47,4,67,67,3,45,46,5,91,98,4,72,81,7,35,40,0,78,82
10470,10,88,98,15,160,181,26,352,380,58,898,951,61,675,736,86,890,975,94,974,1067,115,1149,1257,120,1084,1199,151,1691,1840,159,1662,1824,104,1136,1239,192,2632,2814
10500,6,442,450,21,711,733,32,1345,1379,47,2980,3023,43,1953,1993,36,3063,3099,48,3153,3203,55,3862,3910,66,4206,4270,116,7302,7422,115,7990,8106,89,4888,4976,298,16677,16973
10550,8,140,149,16,228,243,20,395,418,36,1222,1256,28,876,899,47,1256,1298,56,1133,1186,54,1250,1306,70,1162,1233,78,1515,1591,65,1304,1372,37,754,790,69,1458,1531
10600,5,44,45,0,81,84,14,173,186,7,438,446,16,287,306,28,407,434,17,408,428,25,427,450,22,399,424,32,541,579,33,423,456,25,265,291,32,517,544
10650,0,18,18,0,47,49,0,88,89,8,312,326,4,215,218,17,334,346,20,258,274,8,276,291,3,269,273,17,311,325,16,270,290,8,169,178,15,319,329
10750,37,514,549,95,1060,1151,148,2096,2244,336,4609,4942,296,3078,3373,355,5117,5469,373,5274,5649,374,6663,7037,396,7553,7950,556,12708,13256,571,14954,15526,375,10843,11214,762,32846,33615
10800,3,20,23,0,28,32,3,57,60,6,165,173,8,88,98,16,147,163,17,132,145,18,143,162,12,139,147,21,196,213,13,217,233,16,117,127,14,259,271
10850,0,21,21,0,41,36,8,55,64,3,163,166,9,113,121,8,181,188,14,168,181,10,171,180,19,206,219,24,274,293,26,279,306,9,211,218,38,428,472
10900,4,195,204,10,359,368,19,572,590,38,1811,1849,32,1353,1382,54,1679,1733,42,1771,1812,72,2156,2222,87,2144,2228,121,3135,3258,128,3251,3379,101,2132,2229,279,7012,7289
10950,0,8,10,3,5,7,8,23,29,11,62,72,16,36,50,16,40,53,10,56,61,15,42,58,13,50,57,20,70,98,19,66,87,16,45,58,20,122,149
11150,3,5,10,9,3,11,0,3,11,10,36,43,9,13,24,24,29,50,23,21,43,15,32,47,15,39,56,30,53,76,28,59,86,11,26,36,31,98,126
11200,3,4,8,21,0,24,24,4,32,23,13,42,16,4,19,32,5,39,23,18,38,22,17,38,19,8,22,16,16,31,18,20,44,10,11,16,16,30,49
11250,3,45,52,16,116,137,25,220,249,45,752,800,57,386,440,59,517,579,58,503,562,66,497,560,70,462,524,89,607,698,64,591,657,46,352,401,102,785,891
11300,0,124,124,0,184,189,0,362,362,10,600,606,3,485,492,0,676,676,5,702,709,8,857,861,0,964,972,12,1453,1465,21,1653,1670,11,947,963,20,3624,3639
11350,3,85,93,8,142,148,9,273,284,17,742,754,21,682,701,23,695,718,25,776,802,25,908,931,20,939,959,48,1403,1450,39,1337,1378,27,830,861,73,2418,2494
11400,0,28,29,0,58,61,10,98,107,13,318,331,9,205,211,16,355,373,23,267,289,17,331,345,26,320,348,37,466,499,42,453,498,20,288,307,51,919,963
11450,3,127,131,8,187,195,19,366,380,35,975,1008,37,794,831,65,1311,1371,50,1397,1451,88,1869,1956,95,1993,2092,222,3885,4105,248,4836,5080,228,3937,4166,543,11428,11966
11500,25,244,274,56,640,699,98,1219,1317,170,2797,2967,196,2003,2194,231,3055,3289,232,3356,3579,257,3886,4144,250,4230,4475,382,6792,7178,350,6858,7214,244,4550,4792,491,10202,10695
11520,4,237,244,4,325,328,10,559,567,10,1195,1206,14,853,867,10,1284,1295,9,1355,1370,13,1711,1724,16,1879,1895,33,3194,3222,32,3872,3903,22,2320,2344,95,12978,13065
11570,4,771,780,50,1811,1866,60,3565,3623,84,6975,7059,59,4482,4539,92,7539,7628,92,7043,7138,81,8400,8475,100,8688,8789,148,12808,12963,151,12014,12165,126,8125,8250,285,22611,22893
11600,0,8,4,0,10,17,7,20,24,3,49,57,8,34,43,3,42,43,11,58,65,19,67,91,7,65,74,16,123,129,13,97,108,6,61,64,17,128,138
11650,40,820,860,104,1448,1551,198,2991,3188,360,8834,9192,332,6746,7077,512,8728,9237,546,8269,8816,621,8953,9580,653,9018,9668,1054,13109,14168,956,12833,13786,704,8607,9312,1440,23141,24579
11700,4,8,6,8,7,16,16,15,24,24,40,63,17,18,33,22,26,43,23,30,53,29,27,54,8,24,32,17,27,50,18,41,56,0,8,16,18,34,58
11720,9,127,134,34,208,244,50,474,530,99,1403,1501,108,987,1096,185,1443,1626,196,1394,1588,186,1524,1714,220,1486,1712,320,2241,2570,350,2233,2575,251,1442,1693,416,3163,3593
11730,7,149,160,30,303,335,65,593,659,97,1795,1891,91,1229,1317,144,1929,2071,137,1733,1871,165,1761,1921,146,1533,1677,242,2002,2245,189,1658,1849,108,921,1030,164,1721,1885
11750,5,12,12,0,11,14,8,35,41,11,101,107,12,34,44,24,53,71,13,62,78,15,70,83,7,73,79,25,119,141,28,126,156,18,67,89,71,227,299
11800,17,183,203,32,386,414,60,709,768,100,2036,2138,113,1734,1843,143,2166,2312,149,2013,2164,174,2248,2426,188,2332,2516,251,3119,3369,223,2817,3040,169,1736,1907,273,3853,4131
